,lat,lon,name
264,49.2693966,-123.1029581,Starbucks
270,49.222974,-122.9140218,Starbucks
271,49.2266652,-123.0049363,Tim Hortons
272,49.2262624,-123.0039692,Starbucks
274,49.1551351,-123.1243923,Blenz Coffee
275,49.1541422,-123.124046,Chatime
277,49.2273587,-123.1168634,Chatime
281,49.2846897,-123.0652949,JJ Bean
282,49.3254284,-123.1367676,Starbucks
283,49.277133,-123.1296758,Starbucks
284,49.2810287,-123.118654,Blenz Coffee
285,49.111784,-122.6767069,Tim Hortons
288,49.2093679,-123.1165285,Starbucks
300,49.2856543,-123.114727,Caffè Artigiano
301,49.2845132,-123.114372,Coco
307,49.0605339,-122.736232,Tim Hortons
308,49.2246333,-122.98836,Chatime
310,49.1989622,-122.7772807,Tim Hortons
311,49.0481897,-122.7832772,Starbucks
312,49.2261049,-123.0020981,Chatime
313,49.2593387,-123.04459,Tim Hortons
316,49.2464996,-123.1854116,Starbucks
319,49.2860889,-123.116336,Tim Hortons
321,49.2865106,-123.125896,JJ Bean
324,49.2870463,-123.1282973,Tim Hortons
326,49.268464,-123.1854523,Blenz Coffee
329,49.1558423,-122.9115902,Tim Hortons
335,49.219026,-122.966673,Tim Hortons
336,49.1056159,-122.7388746,Starbucks
337,49.1044584,-122.7252382,Starbucks
338,49.1038253,-122.726644,Tim Hortons
340,49.2801002,-122.7997098,Starbucks
341,49.2788724,-122.7975011,Tim Hortons
344,49.1148358,-122.6768714,Tim Hortons
346,49.2796237,-122.9210213,Starbucks
347,49.2799293,-122.9212052,Tim Hortons
348,49.2598899,-122.7568695,Tim Hortons
349,49.2345257,-123.0362438,Coco
350,49.1999678,-122.9802018,Tim Hortons
358,49.2485436,-123.1266354,Starbucks
360,49.2418387,-122.761807,Starbucks
361,49.2469482,-122.749874,Tim Hortons
369,49.1547993,-123.158139,Starbucks
374,49.3256789,-123.1353529,Starbucks
375,49.0344759,-122.3366943,Tim Hortons
378,49.0410938,-122.2201486,Starbucks
382,49.2796325,-123.10785,Blenz
383,49.1918172,-123.168934,Tim Hortons
384,49.2832205,-123.1155257,Tim Hortons
387,49.2347245,-123.157554,Starbucks
390,49.274665,-123.122111,Starbucks
395,49.2272003,-122.9992087,Starbucks
396,49.1063618,-122.662628,Starbucks
400,49.2322039,-123.0312074,Tim Hortons
403,49.2582579,-123.100881,JJ Bean
404,49.2015761,-122.912837,Tim Hortons
406,49.2540672,-123.2351064,Blenz Coffee
407,49.2634834,-123.115745,Blenz Coffee
408,49.2634515,-123.1197194,Blenz Coffee
412,49.3117019,-123.08043,Tim Hortons
413,49.1888354,-122.8025731,Tim Hortons
414,49.0899262,-123.0447984,Tim Hortons
415,49.2794898,-122.967047,Starbucks
419,49.2794465,-123.1230178,Blenz Coffee
